SID,Nombre,Código,Organización,Latitud,Longitud,Altura,Medida,Valor,Confianza
821,"Codpa","AG263","agromet",-18.833055556,-69.744444444,1859.0,"Temperatura",20.83,100
1379,"Buin Oriente","yy:00:00:00:00:56","redmeteo",-33.732831,-70.721616,510.0,"Temperatura",25.09,100
488,"Rucatayo","AG376","agromet",-40.598896,-72.586541,279.0,"Temperatura",18.82,100
901,"Vicuña","AG11","agromet",-30.038333333,-70.696666667,630.0,"Temperatura",22.74,100
953,"Quintero, Climatológica","320056","dmc",-32.784166666666664,-71.52277777777778,5.0,"Temperatura",17.57,100
290,"Río Laja Ag.arr. Del Salto","08381003-3","dga",-37.2119,-72.3242,140.0,"Temperatura",,0
449,"Rodelillo, Ad.","330007","dmc",-33.0367,-71.5342,330.0,"Temperatura",16.71,100
344,"Rio Futaleufu en La Frontera","10702002-0","dga",-43.1742,-71.7544,314.0,"Temperatura",,0
657,"Rinconada-U de Chile","AG373","agromet",-33.497093,-70.845436,458.0,"Temperatura",24.72,100
931,"Ancud Liceo Agrícola","410026","dmc",-41.86611111111111,-73.81638888888888,31.0,"Temperatura",,0
601,"Pullancón","AG274","agromet",-32.30708283,-71.23075,92.0,"Temperatura",18.56,100
1299,"Licanchen","AG653","agromet",-33.9297485,-71.8010025,23.0,"Temperatura",19.11,100
1391,"Torobayo (CEHUMet)","zx:00:00:00:00:5f","redmeteo",-39.84,-73.28,15.0,"Temperatura",18.32,100
583,"Ventisquero-Tapihue","AG217","agromet",-33.300555556,-71.283333333,334.0,"Temperatura",,0
702,"San Pedro-Totihue","AG250","agromet",-34.341111111,-70.727777778,412.0,"Temperatura",,0
651,"Chocalan","AG50","agromet",-33.725555556,-71.209722222,155.0,"Temperatura",21.9,100
358,"Glaciar San Rafael","11440000-9","dga",-46.6433,-73.8575,8.0,"Temperatura",,0
165,"Cachapoal en Pte Arqueado","06019003-8","dga",-34.2731,-71.3717,115.0,"Temperatura",,0
1418,"Catemu","320055","dmc",-32.75889,-70.94278,443.0,"Temperatura",21.92,100
938,"El Yeso Embalse","05703008-9","dga",-33.6767,-70.0886,2475.0,"Temperatura",,0
769,"San Enrique","AG539","agromet",-39.261711,-71.868097,277.0,"Temperatura",19.26,100
458,"San José  Guayacán","330112","dmc",-33.6153,-70.3506,928.0,"Temperatura",,0
1123,"Illapel","CEAZA_INILLA_Illapel","ceaza",-31.64814,-71.19695,275.0,"Temperatura",19.22,100
335,"Lago Chapo","10430005-7","dga",-41.4297,-72.5764,290.0,"Temperatura",,0
262,"Río Huequecura Aguas Arriba de Embalse Angostura","08316002-0","dga",-37.7047,-71.7683,330.0,"Temperatura",,0
1109,"Quilquico","AG636","agromet",-42.491512,-73.708817,103.0,"Temperatura",16.97,100
892,"Río Hurtado en San Agustin","04501001-5","dga",-30.4622,-70.5361,2035.0,"Temperatura",,0
23,"Río Siloli antes B.t. Fcab","02103014-7","dga",-22.0103,-68.0269,4000.0,"Temperatura",,0
1382,"Lequecahue Tirúa Ad.","380080","dmc",-38.35944,-73.48833,153.0,"Temperatura",18.03,100
1380,"Padre Las Casas","yy:00:00:00:00:57","redmeteo",-38.76415,-72.59902,90.0,"Temperatura",,0
441,"El Loa, Calama Ad.","220002","dmc",-22.4989,-68.9072,2293.0,"Temperatura",19.05,100
1279,"Angol, Húsares","370067","dmc",-37.79583,-72.69472,69.0,"Temperatura",23.5,100
377,"Jorge Montt","11800000-5","dga",-48.254444444444445,-73.45972222222223,170.0,"Temperatura",,0
428,"San Sebastian","12863001-5","dga",-53.3217,-68.6614,20.0,"Temperatura",,0
155,"Cachapoal 5 km a. Jta Cortaderal","06003001-4","dga",-34.3464,-70.3764,1127.0,"Temperatura",,0
673,"Lo Prado Cerro San Francisco","AG301","agromet",-33.45805556,-70.94861111,1073.0,"Temperatura",,0
